visitor_ab,home_ab,visitor_hr,home_hr,home,visitor
37,35,1,1,CLE,TOR
35,36,1,1,BOS,ANA
35,34,1,0,BOS,NYA
39,34,3,2,BOS,NYA
35,32,0,0,CLE,DET
33,34,2,1,BOS,NYA
33,32,0,0,CLE,DET
35,33,1,0,BOS,TOR
31,30,0,1,BOS,TOR
37,33,2,0,KCA,CLE
33,33,1,0,BOS,TOR
33,32,1,0,KCA,CLE
37,33,0,1,KCA,CLE
30,37,0,0,BAL,CLE
35,30,4,0,DET,BOS
37,31,2,2,BAL,CLE
42,43,1,1,DET,BOS
36,33,2,1,BAL,CLE
33,31,0,1,DET,BOS
38,37,5,2,NYA,BOS
42,42,0,0,TBA,CLE
37,36,1,1,NYA,BOS
34,34,0,0,TBA,CLE
31,34,0,1,BOS,MIN
40,34,0,0,CLE,KCA
31,32,0,2,BOS,MIN
35,31,2,1,CLE,KCA
35,34,3,2,CLE,CIN
30,33,1,2,PHI,BOS
38,36,1,1,CLE,CIN
33,26,0,0,PHI,BOS
32,32,2,0,CLE,CIN
37,35,1,1,PHI,BOS
39,36,1,0,CLE,CHA
37,32,2,1,TBA,BOS
32,31,0,2,CLE,CHA
31,28,0,0,TBA,BOS
35,34,1,0,CLE,CHA
39,36,3,1,TBA,BOS
31,36,0,1,BOS,KCA
47,36,2,1,BOS,KCA
33,32,1,2,NYA,CLE
28,30,0,0,BOS,KCA
40,36,1,0,NYA,CLE
31,32,0,2,BOS,KCA
31,35,0,1,NYA,CLE
33,39,1,2,NYA,CLE
40,36,1,1,BOS,OAK
35,32,2,0,DET,CLE
38,34,2,1,BOS,OAK
28,31,0,1,DET,CLE
38,42,4,3,BOS,OAK
38,38,0,2,DET,CLE
42,29,3,0,BAL,BOS
41,28,1,1,CHA,CLE
35,31,1,0,BAL,BOS
34,33,0,0,CHA,CLE
36,38,1,0,BAL,BOS
39,31,1,1,CHA,CLE
32,32,0,1,CLE,BOS
35,32,0,1,CLE,BOS
27,31,0,1,CLE,BOS
36,36,1,0,CLE,BOS
35,40,0,1,BOS,PHI
31,33,0,3,CLE,WAS
32,39,0,2,BOS,PHI
28,31,1,2,CLE,WAS
31,34,1,1,BOS,PHI
42,34,2,1,CLE,WAS
36,34,0,1,BOS,ARI
39,34,1,2,CLE,NYN
31,33,1,2,BOS,ARI
39,32,0,1,CLE,NYN
38,31,0,1,BOS,ARI
38,38,0,0,CLE,NYN
37,36,1,3,BOS,LAN
34,32,0,0,PIT,CLE
32,36,1,2,BOS,LAN
36,32,1,0,PIT,CLE
29,29,0,0,BOS,LAN
36,28,1,0,PIT,CLE
30,32,0,0,COL,BOS
30,25,1,0,PHI,CLE
38,35,1,3,COL,BOS
35,32,2,3,PHI,CLE
46,47,4,0,COL,BOS
32,37,1,1,PHI,CLE
35,34,2,2,CIN,CLE
33,35,1,1,SFN,BOS
33,29,0,0,CIN,CLE
31,32,2,0,SFN,BOS
34,30,3,1,CIN,CLE
36,32,2,0,SFN,BOS
34,31,0,0,CLE,TOR
38,32,1,2,BOS,TBA
31,32,0,1,CLE,TOR
36,33,1,0,BOS,TBA
32,28,0,2,CLE,TOR
35,32,0,2,CLE,TOR
33,30,1,2,BOS,BAL
33,32,0,0,CLE,OAK
33,37,1,1,BOS,BAL
38,37,0,1,CLE,OAK
38,30,0,1,BOS,BAL
