yearID,teamID,R,RA,RperG,RAperG,W,L,WPct,Cook_WPct,Soolman_WPct,Kross_WPct,Smyth_WPct,BJames_Pythag_WPct,BJames_Pythag_WPctII
1946,SLN,712,545,4.5641,3.4936,98,58,0.6282,0.6323083,0.6106987,0.6532,0.6329,0.6305516755,0.619904895061
1905,PIT,692,570,4.5229,3.7255,96,57,0.6275,0.5875930,0.5826078,0.6070,0.5967,0.595776869827,0.587812035261
1913,PHA,794,592,5.1895,3.8693,96,57,0.6275,0.6491486,0.6357974,0.6706,0.6457,0.64271179529,0.63117143998
1952,BRO,775,603,5.0654,3.9412,96,57,0.6275,0.6220564,0.6157255,0.6426,0.6248,0.622903776469,0.612831702152
1967,SLN,695,557,4.3168,3.4596,101,60,0.6273,0.6039138,0.5889689,0.6239,0.6102,0.60890058164,0.599903799395
1971,OAK,691,564,4.2919,3.5031,101,60,0.6273,0.5929858,0.5819565,0.6126,0.6012,0.600169436774,0.591856794381
1948,CLE,840,568,5.4194,3.6645,97,58,0.6258,0.7157746,0.6803290,0.7394,0.6932,0.68623179385,0.67173512289
1937,NY1,732,602,4.8158,3.9605,95,57,0.6250,0.5885183,0.5882763,0.6080,0.5975,0.596534510169,0.588509519351
1988,NYN,703,532,4.3938,3.3250,100,60,0.6250,0.6395714,0.6106875,0.6607,0.6385,0.635856943799,0.624817146886
1995,ATL,645,540,4.4792,3.7500,90,54,0.6250,0.5781111,0.5756250,0.5972,0.5886,0.587917329094,0.580580427348
1951,NY1,781,641,4.9745,4.0828,98,59,0.6242,0.5897098,0.5918726,0.6092,0.5985,0.597507743608,0.589405578827
1962,SFN,878,690,5.3212,4.1818,103,62,0.6242,0.6158725,0.6170364,0.6362,0.6199,0.618198790041,0.608484811867
1961,DET,841,671,5.1914,4.1420,101,61,0.6235,0.6066230,0.6078951,0.6267,0.6124,0.611030287113,0.601868161391
1976,PHI,770,557,4.7531,3.4383,101,61,0.6235,0.6690844,0.6356728,0.6912,0.6605,0.656480824316,0.643961541835
1977,PHI,847,668,5.2284,4.1235,101,61,0.6235,0.6136946,0.6135802,0.6340,0.6182,0.616525141518,0.606939343049
1985,SLN,747,572,4.6111,3.5309,101,61,0.6235,0.6320769,0.6116543,0.6530,0.6327,0.630381171112,0.619747100151
1997,ATL,791,581,4.8827,3.5864,101,61,0.6235,0.6589398,0.6336358,0.6807,0.6531,0.649557432089,0.637525788104
2003,NYA,877,716,5.4136,4.4198,101,61,0.6235,0.5928324,0.6019506,0.6124,0.6011,0.600045249398,0.591742408014
2003,ATL,907,740,5.5988,4.5679,101,61,0.6235,0.5932270,0.6055802,0.6128,0.6014,0.600364605265,0.592036563811
2004,NYA,897,808,5.5370,4.9877,101,61,0.6235,0.5373119,0.5560494,0.5551,0.5522,0.552057568133,0.547660771299
1920,CHA,794,665,5.1558,4.3182,96,58,0.6234,0.5778887,0.5861234,0.5970,0.5884,0.587730886086,0.580408963357
1935,SLN,829,625,5.3831,4.0584,96,58,0.6234,0.6419776,0.6360584,0.6632,0.6403,0.637594097968,0.626426661055
1949,BOS,896,667,5.8182,4.3312,96,58,0.6234,0.6501709,0.6523442,0.6717,0.6465,0.64343414509,0.631841535388
1949,SLN,766,616,4.9740,4.0000,96,58,0.6234,0.6018571,0.6003506,0.6218,0.6085,0.607274593981,0.598404462465
1955,NYA,762,569,4.9481,3.6948,96,58,0.6234,0.6481687,0.6291364,0.6696,0.6450,0.642017680132,0.630527626858
1905,PHA,623,492,4.2095,3.3243,92,56,0.6216,0.6128699,0.5919595,0.6331,0.6175,0.615889100641,0.606352122123
1919,NY1,605,470,4.3214,3.3571,87,53,0.6214,0.6230213,0.6000000,0.6436,0.6256,0.623631639477,0.613504469841
2003,SFN,755,638,4.6894,3.9627,100,61,0.6211,0.5727586,0.5751615,0.5917,0.5840,0.583403014526,0.576429829659
1909,PHA,605,408,3.9542,2.6667,95,58,0.6209,0.7176961,0.6336667,0.7414,0.6945,0.687385091523,0.672815991905
1923,NY1,854,679,5.5817,4.4379,95,58,0.6209,0.6087423,0.6172288,0.6289,0.6142,0.612686782201,0.603396484688
1925,PIT,912,715,5.9608,4.6732,95,58,0.6209,0.6173538,0.6316601,0.6378,0.6211,0.619332240729,0.609531690313
1934,SLN,799,656,5.2222,4.2876,95,58,0.6209,0.5895061,0.5960458,0.6090,0.5983,0.597341534915,0.589252541864
