visitor_ab,home_ab,visitor_hr,home_hr,visitor_h,home_h,visitor_2b,home_2b,visitor_3b,home_3b,visitor_bb,home_bb,home,visitor,year
38,29,0,3,11,8,3,2,0,1,4,8,MIL,PIT,2009
29,32,0,1,2,9,0,0,0,2,6,2,NYN,FLO,2009
38,35,5,2,12,14,2,5,0,0,10,6,PHI,WAS,2009
31,33,1,0,7,7,0,1,0,1,4,1,SFN,LAN,2009
37,34,1,0,10,8,2,1,0,0,3,1,BAL,TEX,2009
34,31,1,0,8,4,0,0,1,0,2,4,CLE,BOS,2009
36,28,0,1,10,6,1,2,0,0,0,0,DET,NYA,2009
29,29,0,3,2,8,0,0,0,1,6,8,KCA,TOR,2009
35,31,2,1,9,5,1,0,1,0,2,4,MIN,TBA,2009
40,36,3,0,15,10,1,3,0,0,6,3,ARI,CHN,2009
29,26,0,0,3,6,0,0,0,0,1,7,ATL,SLN,2009
36,32,1,2,10,7,3,2,0,0,4,3,CIN,HOU,2009
34,34,1,1,9,10,1,1,1,0,2,5,COL,SDN,2009
31,32,0,2,7,9,3,2,0,0,1,9,MIL,PIT,2009
34,34,2,0,8,8,0,1,0,1,4,3,NYN,FLO,2009
32,35,1,4,6,11,1,0,0,0,2,1,PHI,WAS,2009
35,32,0,0,9,8,4,2,1,0,9,5,SFN,LAN,2009
35,38,1,1,11,12,6,1,0,0,6,2,BAL,ANA,2009
33,26,0,0,4,2,2,1,0,0,2,1,CHA,SEA,2009
44,31,1,0,19,6,3,0,0,0,2,2,CHA,SEA,2009
38,39,0,2,14,13,4,1,0,0,6,4,CLE,BOS,2009
37,31,2,0,12,4,0,1,1,0,6,3,DET,NYA,2009
38,33,0,0,14,6,4,2,0,0,6,3,KCA,TOR,2009
33,31,1,1,9,9,3,1,0,0,4,6,MIN,TBA,2009
36,29,1,0,10,5,0,0,0,0,2,5,TEX,OAK,2009
28,30,0,1,2,8,0,2,0,0,4,10,ARI,CHN,2009
35,34,0,0,9,8,1,1,0,0,1,7,ATL,SLN,2009
28,29,0,0,1,8,1,1,0,1,1,4,CIN,HOU,2009
33,30,3,2,7,9,1,0,0,0,2,6,COL,SDN,2009
30,29,0,1,2,6,2,3,0,0,1,4,MIL,PIT,2009
32,34,1,1,7,11,2,0,1,2,5,5,NYN,FLO,2009
36,33,0,1,11,7,3,0,0,0,5,5,PHI,WAS,2009
35,38,0,1,9,15,3,3,0,1,4,4,SFN,LAN,2009
36,32,2,0,10,7,0,1,1,1,1,2,BAL,ANA,2009
37,33,0,3,12,12,3,2,0,0,2,4,CHA,SEA,2009
40,36,1,2,10,8,2,0,0,1,4,8,CLE,BOS,2009
36,30,2,1,9,7,2,2,0,0,8,4,DET,NYA,2009
35,39,0,3,8,15,2,7,0,1,2,3,KCA,TOR,2009
37,35,0,0,10,12,2,2,0,1,3,4,MIN,TBA,2009
37,35,1,2,10,5,3,0,0,0,6,1,CHN,FLO,2009
33,36,0,2,8,14,2,3,0,0,8,1,LAN,SDN,2009
31,32,1,0,7,8,1,3,0,0,0,4,MIL,ARI,2009
32,32,1,1,8,6,2,1,0,1,11,4,WAS,SLN,2009
32,31,2,0,11,9,1,3,0,3,6,5,KCA,TOR,2009
32,34,1,1,9,12,1,3,1,0,1,5,NYA,ANA,2009
27,42,0,2,1,18,0,7,0,0,2,5,TBA,BOS,2009
35,35,1,2,11,9,2,2,0,0,3,6,TEX,OAK,2009
36,31,0,1,10,8,1,1,1,0,3,3,ATL,HOU,2009
33,33,0,1,8,10,2,0,0,0,9,5,CHN,FLO,2009
31,29,0,0,4,3,2,0,0,0,3,4,LAN,SDN,2009
33,35,0,0,8,9,2,2,0,0,5,0,MIL,ARI,2009
32,34,1,1,9,8,4,0,0,0,8,5,PHI,NYN,2009
31,30,1,0,8,5,1,0,0,0,5,3,PIT,CIN,2009
35,26,1,0,9,5,1,1,0,1,1,2,SFN,COL,2009
37,33,4,1,10,8,2,2,0,1,0,2,WAS,SLN,2009
38,35,1,1,12,8,3,2,0,0,5,0,DET,CLE,2009
37,32,0,2,10,10,3,2,0,1,0,4,MIN,KCA,2009
36,35,0,1,13,12,0,1,1,0,7,5,NYA,ANA,2009
33,36,1,2,8,12,4,0,1,0,7,5,SEA,OAK,2009
33,27,0,2,9,7,2,0,0,0,6,4,TBA,BOS,2009
35,33,0,1,9,8,1,2,1,1,2,1,TEX,CHA,2009
37,36,1,1,11,14,2,3,0,0,1,4,TOR,BAL,2009
38,32,1,0,13,7,1,3,1,0,0,6,ATL,HOU,2009
32,33,1,2,5,11,0,1,0,1,0,5,CHN,FLO,2009
32,36,1,0,3,10,1,2,0,0,5,4,LAN,SDN,2009
36,31,1,0,9,5,2,2,0,0,0,2,MIL,ARI,2009
35,35,2,1,11,9,1,3,1,1,9,9,PHI,NYN,2009
41,35,1,0,14,13,1,1,0,0,2,2,PIT,CIN,2009
35,32,3,1,10,5,1,0,1,0,4,1,SFN,COL,2009
31,32,1,1,5,9,0,1,0,1,0,2,WAS,SLN,2009
36,31,0,2,12,11,3,0,1,0,4,9,DET,CLE,2009
47,43,1,1,15,14,3,2,1,0,5,4,MIN,KCA,2009
37,32,1,1,11,4,1,1,0,0,5,5,NYA,ANA,2009
34,32,0,1,9,10,2,1,0,0,3,4,SEA,OAK,2009
38,37,1,1,13,11,5,2,0,0,7,3,TBA,BOS,2009
33,34,1,1,8,13,2,6,0,0,1,4,TEX,CHA,2009
43,40,1,1,9,11,2,1,0,0,4,6,TOR,BAL,2009
28,34,0,0,10,11,3,2,0,1,5,6,ATL,HOU,2009
33,34,1,2,7,9,2,2,0,0,3,0,CHN,FLO,2009
33,32,2,0,6,10,2,3,0,0,4,3,LAN,SDN,2009
33,31,3,2,5,8,0,1,0,1,0,3,MIL,ARI,2009
31,29,1,0,7,4,1,0,0,0,6,1,PIT,CIN,2009
31,33,0,0,3,8,1,2,0,0,5,3,SFN,COL,2009
30,36,0,1,3,12,1,2,0,0,4,1,DET,CLE,2009
34,37,1,0,10,10,2,4,1,0,3,2,MIN,KCA,2009
58,58,1,2,14,16,4,2,0,0,5,7,SEA,OAK,2009
34,33,1,0,8,10,1,3,0,0,3,2,TBA,BOS,2009
34,33,0,1,9,13,3,3,0,0,0,2,TEX,CHA,2009
32,30,1,2,5,6,1,3,0,0,2,1,TOR,BAL,2009
34,29,3,1,8,5,1,0,0,0,4,7,ATL,NYN,2009
32,28,0,1,6,5,1,2,0,0,3,7,CHN,SFN,2009
50,52,0,1,11,14,0,2,0,0,3,6,FLO,CIN,2009
31,30,1,2,6,10,2,2,0,0,2,7,LAN,ARI,2009
37,37,1,1,11,10,2,4,0,1,3,3,PIT,MIL,2009
32,31,1,1,11,4,2,1,0,0,7,3,SDN,COL,2009
35,33,2,0,8,5,1,2,0,0,2,2,SLN,PHI,2009
33,38,0,0,10,15,4,3,0,0,2,8,WAS,HOU,2009
36,31,0,1,11,4,3,1,1,0,2,3,DET,MIN,2009
31,33,0,1,6,10,2,1,0,0,0,4,KCA,CHA,2009
37,36,2,3,11,9,3,0,0,0,8,4,NYA,BOS,2009
36,33,0,1,12,6,3,1,0,0,1,1,OAK,ANA,2009
36,36,2,2,10,9,1,2,0,1,2,1,SEA,TEX,2009
37,33,2,1,11,6,3,2,0,0,3,5,TBA,BAL,2009
50,52,1,0,15,16,4,4,0,0,4,2,TOR,CLE,2009
37,36,0,0,11,10,3,3,0,0,5,3,ATL,NYN,2009
36,31,1,0,11,5,1,1,0,0,2,3,CHN,SFN,2009
38,27,1,0,14,3,2,2,0,0,4,4,FLO,CIN,2009
