personid,female,adult,age,height_cm,weight_kg
11031302,1,1,50,149.8,35.4
11031303,0,1,31,168,50.4
11031304,1,1,27,151,51.6
11031305,0,0,.7692308,,
11031306,1,1,20,146.7,37.5
11031307,0,0,14,142.4,33.6
11031308,0,1,75,155.4,41.6
11031309,0,0,16,174.2,56
11031401,0,1,50,158.8,47.7
11031402,1,1,45,150.2,44.7
11031403,0,0,10,137.1,29.8
11031404,1,0,6,96.1,12.7
11031405,1,0,4,86.4,9.7
11031501,0,1,40,156.6,48.6
11031502,1,1,37,142,34
11031503,0,1,22,,
11031504,1,1,20,147.5,35.7
11031505,0,0,7,106.5,17.2
11031601,0,1,54,160.3,44.9
11031602,1,1,50,150.6,43.2
11031603,1,1,30,150.6,37.5
11040101,0,1,65,155.2,50.3
11040102,1,1,62,146.3,46.8
11040103,0,1,22,152.4,55.2
11040104,1,1,20,151.4,44.2
11040301,0,1,75,151.3,38.1
11040302,1,1,72,139,36.6
11040303,1,1,30,148,38.2
11040304,0,0,12,147.5,34.5
11040801,1,1,35,151.2,47.9
11040802,0,0,13,171.3,52.2
11040901,0,1,45,171.6,61.4
11040902,1,1,43,153.6,67.9
11040903,0,1,25,169.2,72.1
11040904,1,1,22,149.1,51.8
11040905,0,0,1.5,,
11040906,0,0,15,166.9,48.2
11040907,1,0,17,153.5,40.3
11040908,1,0,15,151.7,49.6
11040909,0,1,61,160.1,50.9
11040910,1,1,58,149,48
11040911,0,1,90,160.4,47.5
11041101,0,1,80,162.3,63.6
11041107,1,1,28,141.3,36.2
11041108,0,0,5,100.4,15.4
11041201,0,1,35,172.3,77.6
11041202,1,1,30,154.4,46.4
11041203,0,0,12,146.8,32.7
11041204,1,0,8,116.4,19.7
11041205,1,0,6,104.1,15.3
11041206,1,0,3,94.6,13.7
11041207,0,0,2.083333,81.7,10.9
11041401,0,1,60,172.9,73.3
11041402,1,1,58,154.4,50.5
11041403,0,1,40,165.8,46.7
11041404,1,1,35,154.9,65.6
11041405,0,0,12,148.6,30.5
11041406,0,0,10,141.2,27.6
11041407,1,0,15,145.6,36.4
11041501,0,1,35,163.7,48.9
11041502,1,1,33,152.8,41.2
11041503,0,0,8,136,23.6
11041504,0,0,12,153.2,34.8
11041505,1,0,10,152.2,33.2
11041506,1,1,25,145.5,43.9
11041507,0,0,12,140,32.5
11041508,0,0,8,126.3,22.5
11041509,1,0,10,140.1,27.8
11041510,0,1,70,,
11041901,0,1,50,169.3,58.8
11041902,1,1,46,151.2,48.8
11041903,1,1,18,158.5,44.9
11041904,1,0,14,148.7,40
11041906,1,0,9,124.3,22.6
11042001,1,1,35,149.2,46.5
11042002,0,1,40,163.6,51.4
11042003,1,0,16,149.8,36.4
11042004,1,0,11,124.2,22.5
11042005,1,0,5,101.1,14.9
11042006,0,0,1.5,,
11042101,0,1,70,174.6,56.5
11042102,1,1,66,147.6,40.3
11042103,0,1,48,157.1,63.3
11042104,1,1,30,152.4,41.8
11042105,0,0,13,142.6,30
11042106,1,1,19,141.6,33.1
11042107,1,0,8,119.9,17.5
11042201,0,1,71,,86.7
11042202,1,1,70,145.6,45.5
11042501,0,1,56,160.2,68.1
11042502,1,1,51,157.5,51.2
11042503,1,1,25,147.3,37.8
11042504,0,0,7,115.6,18.9
11042505,0,0,4,99.9,15.5
11042506,0,0,3,85.5,11.4
11042507,0,0,1,,
11042508,0,1,22,155.6,53.6
11042509,1,0,17,152.5,41.9
11043301,0,1,70,154.9,36.8
11043302,1,1,65,151.1,32.7
11043303,0,1,42,171.6,55.3
11043304,1,1,38,139.4,40.1
11043305,0,1,25,160.8,51.3
11043306,1,1,22,150,44.7
11043307,0,1,22,166.5,45.1
11043308,1,1,20,145.7,45.5
11043801,0,1,48,152.2,50.7
11043802,1,1,40,155.4,51.1
11043803,0,1,23,162.1,49.8
11043804,1,1,21,146.5,36.8
11043805,1,0,2,71,7.3
11043806,1,0,.1923077,,
11043807,0,0,14,156.3,44.7
11043808,0,0,13,162.4,51.5
11050101,0,1,28,170.6,55.9
11050102,1,1,26,145.1,34.6
11050201,0,1,58,166.5,55
11050202,1,1,50,,
11050203,1,1,20,,
11050204,1,1,85,154.4,50.1
11050301,0,1,65,165,48.1
11050302,1,1,60,143.2,38.8
11050303,1,1,35,153.4,63.6
11050501,0,1,23,165.3,55.6
11050502,1,1,21,152.5,38.8
11050503,0,0,.8846154,,
11050504,0,1,65,159.2,37.6
11050505,1,1,60,144,36.8
11050601,0,1,70,152.2,39
11050602,1,1,65,147.9,34.3
